gsi_lat,gsi_lon,gsi_name,gsi_kana,lfSpanFr,gaijiFlg,name1,name2,id,name,kana,alt,lat,lon,level,auth,distance
36.100187,136.50543,高尾岳,たかおだけ,2012-10-12,0,高尾岳,高尾岳,7366,高尾岳,たかおだけ,525,36.100198,136.505408,18,2,2.30
34.485093,136.512422,城山,しろやま,2012-10-12,0,城山,城山,8781,城山,しろやま,291,34.484934,136.512486,18,2,18.67
34.373032,136.515772,七洞岳,ななほらだけ,2012-10-12,0,七洞岳,七洞岳,748,七洞岳,ななほらだけ,778,34.373058,136.515752,54,1,3.38
35.809451,136.505851,姥ヶ岳,うばがたけ,2012-10-12,0,姥ヶ岳,姥ヶ岳,702,姥ヶ岳,うばがたけ,1453,35.809457,136.505847,45,1,0.78
35.346863,136.509778,南宮山,なんぐうさん,2012-10-12,0,南宮山,南宮山,9297,南宮山,なんぐうさん,419,35.346828,136.509795,45,2,4.18
35.359668,136.512389,朝倉山,あさくらやま,2012-10-12,0,朝倉山,朝倉山,9296,朝倉山,あさくらやま,257,35.359621,136.512435,18,2,6.65
36.075779,136.507821,御立山,おたてやま,2012-10-12,0,御立山,御立山,7338,御立山,おたてやま,301,36.075834,136.507821,36,2,6.10
43.993375,145.013344,遠音別岳,おんねべつだけ,2012-07-30,0,遠音別岳,遠音別岳,6,遠音別岳,おんねべつだけ,1330,43.993399,145.013274,54,1,6.17
34.504018,132.5723,別当山,べっとうさん,2012-10-12,0,別当山,別当山,11897,別当山,べっとうさん,522,34.504014,132.572339,18,2,3.59
33.56123,132.579658,感応寺山,かんのうじさん,2012-10-12,0,感応寺山,感応寺山,12951,感応寺山,かんのうじさん,689,33.561215,132.579630,27,2,3.10
34.695013,132.577194,火神城山,ひがみじょうやま,2012-10-12,0,火神城山,火神城山,12044,火神城山,ひがみじょうやま,610,34.695000,132.577222,0,2,2.94
33.497293,132.582911,根太山,ねぶとやま,2012-10-12,0,根太山,根太山,12924,根太山,ねぶとやま,300,33.497238,132.582870,18,2,7.19
35.07331,132.581878,津ノ目山,つのめやま,2012-10-12,0,津ノ目山,津ノ目山,2701,津ノ目山,つのめやま,385,35.073228,132.581912,27,2,9.57
34.383468,132.582672,天狗防山,てんぐぼうやま,2012-10-12,0,天狗防山,天狗防山,11774,天狗防山,てんぐぼうやま,512,34.383447,132.582644,18,2,3.50
34.308977,132.580422,観音山,かんのんやま,2012-10-12,0,観音山,観音山,11727,観音山,かんのんやま,428,34.308972,132.580416,18,2,0.80
34.315628,132.580591,三石山,みついしやま,2013-07-26,0,三石山,三石山,11726,三石山,みついしやま,449,34.315607,132.580555,36,2,4.03
34.471432,132.577419,中山,なかやま,2012-10-12,0,中山,中山,11845,中山,なかやま,283,34.471456,132.577394,36,2,3.51
34.848352,132.58157,大原山,おおはらやま,2012-10-12,0,大原山,大原山,12141,大原山,おおばらやま,665,34.848305,132.581561,36,2,5.30
35.223588,132.581769,要害山,ようがいさん,2012-10-12,0,要害山,要害山,12312,要害山,ようがいさん,299,35.223571,132.581737,36,2,3.44
34.375135,132.579617,洞所山,どうところやま,2012-10-12,0,洞所山,洞所山,11781,洞所山,どうところやま,641,34.375091,132.579798,27,2,17.26
34.96618,132.577508,唐渓山,からたにやま,2012-10-12,0,唐渓山,唐渓山,12222,唐渓山,からたにやま,658,34.966154,132.577518,36,2,2.98
34.356135,132.574533,城山,しろやま,2012-10-12,0,城山,城山,11780,城山,じょうやま,592,34.355985,132.574445,36,2,18.57
34.521393,132.575444,白木山,しらきやま,2012-10-12,0,白木山,白木山,852,白木山,しらきやま,889,34.521261,132.575438,45,1,14.66
34.882718,132.5808,大手山,おおでやま,2012-10-12,0,大手山,大手山,12140,大手山,おおでやま,539,34.882782,132.580798,36,2,7.15
34.227355,132.576317,休山,やすみやま,2012-10-12,0,休山,休山,11670,休山,やすみやま,497,34.227331,132.576319,18,2,2.67
34.919413,132.582911,田ノ原冠山,たのはらかんざん,2012-10-12,0,田ノ原冠山,田ノ原冠山,2667,田ノ原冠山,たのはらかんざん,645,34.919391,132.582920,45,2,2.55
34.623493,132.575136,堂床山,どうとこやま,2012-10-12,0,堂床山,堂床山,11941,堂床山,どうとこやま,739,34.623472,132.575148,45,2,2.56
34.422988,132.576642,高城山,たかじょうやま,2012-10-12,0,高城山,高城山,11843,高城山,たかじょうやま,496,34.422691,132.576783,36,2,35.44
