lat,lon,name,kana,lfSpanFr,gaijiFlg,name1
39.776985,141.206441,大日向山,おおひなたやま,2012-10-12,0,大日向山
42.497425,141.202531,窟太郎山,くつたろうやま,2012-07-30,0,窟太郎山
43.020889,141.203917,百松沢山,ひゃくまつざわやま,2012-07-30,0,百松沢山
42.877044,141.205397,狭薄山,さうすやま,2012-07-30,0,狭薄山
36.691617,138.648119,弁天山,べんてんやま,2012-10-12,0,弁天山
36.813943,138.655645,大岩山,おおいわやま,2012-10-12,0,大岩山
36.905865,138.653864,金城山,きんじょうさん,2012-10-12,0,金城山
35.834199,138.651513,剣ガ峰,けんがみね,2012-10-12,0,剣ガ峰
35.760138,138.658013,差山,さすやま,2012-10-12,0,差山
35.755813,138.652838,妙見山,みょうけんやま,2012-10-12,0,妙見山
37.047135,138.653967,烏帽子形山,えぼしがたやま,2012-10-12,0,烏帽子形山
36.290109,138.657662,大山,おおやま,2012-10-12,0,大山
36.097406,138.654,天望山,てんぼうさん,2012-10-12,0,天望山
36.372934,138.651573,一ノ字山,いちのじやま,2012-10-12,0,一ノ字山
37.040385,138.649078,城峰,しろみね,2012-10-12,0,城峰
36.334378,138.650452,矢ヶ崎山,やがさきやま,2013-07-26,0,矢ヶ崎山
36.453784,138.652544,浅間隠山,あさまかくしやま,2012-10-12,0,浅間隠山
35.565618,138.657715,春日山,かすがやま,2012-10-12,0,春日山
35.562016,138.652576,名所山,めいしょざん,2012-10-12,0,名所山
36.864071,138.649975,松ノ峰,まつのみね,2012-10-12,0,松ノ峰
35.440852,138.653517,大室山,おおむろやま,2012-10-12,0,大室山
36.727234,138.655672,地蔵山,じぞうやま,2012-10-12,0,地蔵山
35.516941,138.657934,鍵掛,かぎかけ,2012-10-12,0,鍵掛
36.39599,138.651954,留夫山,るふやま,2012-10-12,0,留夫山
36.974591,138.651275,狐峰,きつねみね,2012-10-12,0,狐峰
44.984581,147.812283,ポンノボリ山,ぽんのぼりやま,2014-02-14,0,ポンノボリ山
35.821613,136.187504,連光坊山,れんこうぼうやま,2012-10-12,0,連光坊山
36.043033,136.194908,兎越山,うさぎごえやま,2013-07-26,0,兎越山
34.324671,136.188478,白倉山,しらくらやま,2012-10-12,0,白倉山
34.843913,136.187617,雨乞山,あまごいやま,2012-10-12,0,雨乞山
35.174957,136.191042,和田山,わだやま,2012-10-12,0,和田山
35.506093,136.193117,賤ヶ岳,しずがたけ,2012-10-12,0,賤ヶ岳
34.220541,136.197031,大河内山,おおこうちやま,2012-10-12,0,大河内山
44.0272,145.771934,円山,まるやま,2014-02-14,0,円山
26.20241,127.283794,久保岳,くぼたき,2012-10-12,0,久保岳
26.198982,127.280761,岳原,たきばる,2012-10-12,0,岳原
